t,year,height,station,u2,v2,surge_mm,height - surge,height - surge anomaly,psmsl_id,wind_variant
1991-01-01,1991.0,9.0,24,4.087740630463483,0.39182260465603314,48.702946631875704,-39.702946631875704,21.318873500402816,24,Combined
1992-01-01,1992.0,57.0,24,8.08055824925963,1.6115795944831162,65.0400881801192,-8.040088180119199,52.98173195215932,24,Combined
1993-01-01,1993.0,54.0,24,7.88151381164749,1.9583649088139294,51.5264623926008,2.4735376073992015,63.49535773967772,24,Combined
1994-01-01,1994.0,93.0,24,10.57474462952328,3.780154511700779,84.22460835937349,8.77539164062651,69.79721177290503,24,Combined
1995-01-01,1995.0,106.0,24,7.594569561968509,0.7231337275893402,68.2450310709848,37.754968929015206,98.77678906129373,24,Combined
1996-01-01,1996.0,-37.0,24,-0.990270901018316,0.8824538866197243,-22.189354890438302,-14.810645109561698,46.211175022716816,24,Combined
1997-01-01,1997.0,39.0,24,4.669957951946022,4.208533963874704,31.873657337504696,7.126342662495304,68.14816279477382,24,Combined
1998-01-01,1998.0,131.0,24,9.973237796484515,3.038883920279442,95.3606385788689,35.6393614211311,96.66118155340962,24,Combined
1999-01-01,1999.0,123.0,24,10.110546822475468,3.0341625444796683,90.4643272834332,32.53567271656679,93.55749284884531,24,Combined
2000-01-01,2000.0,117.0,24,9.257246607923184,9.211352723716514,79.46694475252559,37.53305524747441,98.55487537975293,24,Combined
2001-01-01,2001.0,126.0,24,6.036207041219325,2.3643659821694856,62.2136458864575,63.7863541135425,124.80817424582102,24,Combined
2002-01-01,2002.0,106.0,24,5.418190274830521,5.158049118680559,35.3743031046876,70.6256968953124,131.64751702759094,24,Combined
2003-01-01,2003.0,86.0,24,2.419014213544122,1.9189583589505352,32.9944703804507,53.0055296195493,114.02734975182781,24,Combined
2004-01-01,2004.0,116.0,24,8.325005684333773,2.383694017824902,75.02013888423801,40.97986111576199,102.00168124804051,24,Combined
2005-01-01,2005.0,81.0,24,7.103911806763492,0.6315093289298014,57.5752197420352,23.424780257964798,84.44660039024332,24,Combined
2006-01-01,2006.0,80.0,24,6.133688425329346,4.532461246549129,62.1714341288355,17.8285658711645,78.85038600344302,24,Combined
2007-01-01,2007.0,155.0,24,10.287087773154333,1.2027071311573228,95.5722812052867,59.4277187947133,120.44953892699182,24,Combined
2008-01-01,2008.0,117.0,24,8.021731982049706,5.390207896976244,82.77287059641681,34.22712940358319,95.24894953586171,24,Combined
2009-01-01,2009.0,81.0,24,5.088302778325098,5.315204816749646,46.935496226667496,34.064503773332504,95.08632390561102,24,Combined
2010-01-01,2010.0,67.0,24,1.7123364539897452,-1.4173802554506822,25.1052073726098,41.8947926273902,102.91661275966872,24,Combined
2011-01-01,2011.0,122.0,24,9.094102214995063,4.225602709915997,76.5299901519327,45.470009848067306,106.49182998034583,24,Combined
2012-01-01,2012.0,106.0,24,6.817775557899332,3.249123614058629,61.034355611576,44.965644388424,105.98746452070253,24,Combined
2013-01-01,2013.0,82.0,24,2.2286573882636183,3.1738268224327997,30.807504384485,51.192495615515,112.21431574779352,24,Combined
2014-01-01,2014.0,126.0,24,5.1230148553810215,11.433273691473225,51.5237803570926,74.47621964290741,135.49803977518593,24,Combined
2015-01-01,2015.0,179.0,24,12.157924985711569,6.5589199159702245,95.5399213027056,83.4600786972944,144.4818988295729,24,Combined
2016-01-01,2016.0,144.0,24,4.917602946504256,2.520683761591421,35.098601382001796,108.90139861799821,169.92321875027673,24,Combined
2017-01-01,2017.0,202.0,24,11.298989002735807,2.050601405920644,88.86719088338,113.13280911662,174.15462924889852,24,Combined
2018-01-01,2018.0,105.0,24,4.296787086005178,2.2087670066942193,16.681277450837502,88.3187225491625,149.34054268144104,24,Combined
2019-01-01,2019.0,195.0,24,7.962882474244295,4.212188017940861,68.5679958189187,126.4320041810813,187.4538243133598,24,Combined
2020-01-01,2020.0,205.0,24,9.839989558187453,6.934233561610111,70.890034070554,134.109965929446,195.13178606172454,24,Combined
2021-01-01,2021.0,182.0,24,4.8222716459912105,0.25504865209428623,44.2651427529548,137.7348572470452,198.75667737932372,24,Combined
1865-01-01,1865.0,-248.0,25,1.8158089484240356,0.7786129696118312,66.96636429691112,-314.96636429691114,-248.0,25,Combined
1866-01-01,1866.0,-104.0,25,10.198142986940285,0.46958716858401206,66.96636429691112,-170.96636429691114,-104.0,25,Combined
1867-01-01,1867.0,-133.0,25,2.4668397705665304,-1.3156613361063456,66.96636429691112,-199.96636429691114,-133.0,25,Combined
1868-01-01,1868.0,-123.0,25,9.412531816708173,1.3643178508621858,66.96636429691112,-189.96636429691114,-123.0,25,Combined
1869-01-01,1869.0,-141.0,25,9.392966417030484,-1.3158058904539776,66.96636429691112,-207.96636429691114,-141.0,25,Combined
1870-01-01,1870.0,-243.0,25,2.4703938000579573,-0.31085242606283553,66.96636429691112,-309.96636429691114,-243.0,25,Combined
1871-01-01,1871.0,-167.0,25,3.2091168769340315,0.30667297531850585,66.96636429691112,-233.96636429691114,-167.0,25,Combined
